epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.877795934677124,0.9688348770141602,0.25949880480766296,0.8302336931228638,0.9498090744018555,0.9289215803146362,0.9660347104072571,0.23310360312461853,1.0,0.8578431606292725
1,0.9798145294189453,0.9936139583587646,0.07545163482427597,0.9916154146194458,0.9678122997283936,0.9779411554336548,0.9952541589736938,0.052605703473091125,0.9949238300323486,0.9607843160629272
2,0.9847245216369629,0.9964855313301086,0.05128103867173195,0.992243766784668,0.9770867228507996,0.9828431606292725,0.9950379133224487,0.062024883925914764,1.0,0.9656862616539001
3,0.9899072647094727,0.997149646282196,0.03730370104312897,0.9966813921928406,0.9830878376960754,0.9901960492134094,0.9991229176521301,0.03569110110402107,0.9950494766235352,0.9852941036224365
4,0.9899072647094727,0.9971764087677002,0.03720739483833313,0.9944933652877808,0.9852700233459473,0.9877451062202454,0.9974649548530579,0.03871789574623108,1.0,0.9754902124404907
5,0.9920894503593445,0.9985374808311462,0.027698447927832603,0.9966960549354553,0.9874522686004639,0.9877451062202454,0.9983540773391724,0.03763357922434807,1.0,0.9754902124404907
6,0.9912711381912231,0.9977648258209229,0.02943931519985199,0.9977888464927673,0.9847245216369629,0.9877451062202454,0.9973568320274353,0.04453672468662262,1.0,0.9754902124404907
7,0.9926350116729736,0.9986560344696045,0.02505178563296795,0.9966996908187866,0.9885433912277222,0.9877451062202454,0.9972606301307678,0.0397595576941967,1.0,0.9754902124404907
8,0.9915438890457153,0.9979012608528137,0.03224782273173332,0.9945115447044373,0.9885433912277222,0.9828431606292725,0.990304172039032,0.07614465057849884,1.0,0.9656862616539001
9,0.9948172569274902,0.9986052513122559,0.022410208359360695,0.9983516335487366,0.9912711381912231,0.9877451062202454,0.9972487092018127,0.04400647059082985,1.0,0.9754902124404907
10,0.9937261343002319,0.998932421207428,0.022641438990831375,0.9983479976654053,0.9890889525413513,0.9901960492134094,0.9981857538223267,0.027982190251350403,1.0,0.9803921580314636
11,0.9942716956138611,0.9990593791007996,0.019542399793863297,0.997802197933197,0.990725576877594,0.9852941036224365,0.9967080354690552,0.05467500910162926,1.0,0.970588207244873
12,0.9950900077819824,0.9990830421447754,0.017051491886377335,0.9978058338165283,0.9923622608184814,0.9877451062202454,0.9974649548530579,0.05096491798758507,1.0,0.9754902124404907
13,0.9953628182411194,0.9994525909423828,0.015538068488240242,0.9978070259094238,0.9929078221321106,0.9828431606292725,0.9923467040061951,0.08126726001501083,1.0,0.9656862616539001
14,0.9939988851547241,0.9991656541824341,0.01939535140991211,0.9967087507247925,0.9912711381912231,0.9828431606292725,0.9974169135093689,0.06891564279794693,1.0,0.9656862616539001
15,0.9959083199501038,0.9992963075637817,0.0172005295753479,0.9989023208618164,0.9929078221321106,0.9877451062202454,0.9973688125610352,0.041417066007852554,1.0,0.9754902124404907
16,0.9956355690956116,0.9998138546943665,0.013505171984434128,0.9983543753623962,0.9929078221321106,0.9877451062202454,0.9970203638076782,0.040608443319797516,1.0,0.9754902124404907
17,0.9948172569274902,0.9996698498725891,0.016156211495399475,0.997804582118988,0.9918166995048523,0.9926470518112183,0.9996635317802429,0.025130296126008034,1.0,0.9852941036224365
18,0.9975450038909912,0.9996455311775208,0.009699535556137562,0.9989058971405029,0.9961811304092407,0.9901960492134094,0.9996876120567322,0.03238470479846001,1.0,0.9803921580314636
19,0.9964538812637329,0.9996640086174011,0.010900293476879597,0.9983570575714111,0.9945444464683533,0.9901960492134094,0.999699592590332,0.030203957110643387,1.0,0.9803921580314636
20,0.9959083199501038,0.9998722076416016,0.0143300024792552,0.9989023208618164,0.9929078221321106,0.9901960492134094,0.9972606897354126,0.03665417805314064,1.0,0.9803921580314636
21,0.997272253036499,0.999906063079834,0.009591850452125072,0.9989053010940552,0.9956355690956116,0.9901960492134094,0.9972967505455017,0.04331595450639725,1.0,0.9803921580314636
22,0.9978178143501282,0.9999759197235107,0.006073830649256706,0.9994526505470276,0.9961811304092407,0.9950980544090271,0.9998077154159546,0.019313190132379532,1.0,0.9901960492134094
23,0.9989088773727417,0.9999836683273315,0.004077374003827572,0.9994538426399231,0.9983633160591125,0.9901960492134094,0.9974768757820129,0.028283843770623207,1.0,0.9803921580314636
24,0.9994544386863708,0.9999978542327881,0.003023443976417184,1.0,0.9989088773727417,0.9950980544090271,0.999747633934021,0.02056415006518364,0.9950980544090271,0.9950980544090271
25,0.9986361265182495,0.9999949336051941,0.003587565617635846,0.998908281326294,0.9983633160591125,0.9926470518112183,0.9997596740722656,0.019534405320882797,1.0,0.9852941036224365
26,0.9997272491455078,1.0,0.0013789566000923514,1.0,0.9994544386863708,0.9901960492134094,0.9974769949913025,0.03452157974243164,1.0,0.9803921580314636
27,1.0,0.9999999403953552,0.0007740399450995028,1.0,1.0,0.9901960492134094,0.9974889755249023,0.03587324917316437,1.0,0.9803921580314636
28,1.0,1.0,0.0005987797048874199,1.0,1.0,0.9901960492134094,0.997501015663147,0.03800477087497711,1.0,0.9803921580314636
